(Parent) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile APP – B2B,Session percentage – Mobile App,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B01N5MRF0W,Elizabeth Arden White Tea 40ml Cream Deodorant Roll On,197,0,63,0,260,0,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,218,0,72,0,290,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,0.71%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N6K5YUZ,"Maybelline Fit Me Foundation, Medium Coverage, Blendable With a Matte and Poreless Finish, For Normal to Oily Skin, Shade: 104 Soft Ivory, 30ml",441,1,288,3,729,4,0.01%,0.03%,0.04%,0.04%,0.03%,0.03%,572,1,362,3,934,4,0.03%,0.01%,0.04%,0.03%,0.03%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N6K60KQ,Maybelline Foundation Fit Me Matte & Poreless Lightweight 365 Espresso,141,0,72,0,213,0,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,198,0,91,0,289,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,0.37%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N7ZJW68,Marion Hydro Silk Ultra Hydration without Rinsing Silk Spray Dry Hair 130ml,1,0,3,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N9FZ4L1,Refectocil Cream Hair Dye (DEEP BLUE) 0.5 Oz by RefectoCil,25,0,9,0,34,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27,0,10,0,37,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.18%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N9OTY67,Max Factor Pan Stik Foundation #60 Deep Olive by Max Factor,23,0,17,0,40,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,31,0,24,0,55,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.28%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N9XZ7Z4,Elizabeth Arden White Tea Shower Gel 400ml,365,1,131,0,496,1,0.01%,0.02%,0.02%,0.00%,0.02%,0.01%,448,1,158,0,606,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01N9Y829Z,WoodWick Ellipse Scented Candle | Coastal Sunset | with Crackling Wick | Burn Time: Up to 50 Hours,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,3,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01NAJZ6OR,"Bourjois Healthy Mix Anti-Fatigue Concealer 53 Dark, 7.8ml, 29199598003",24,0,10,1,34,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,35,0,10,1,45,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XKRP1P5,Elizabeth Arden Dual End Foundation Brush,6,0,5,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,9,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XKTWPRC,"Garnier Moisture Bomb Green Tea and Hyaluronic Acid Sheet Mask, Hydrating & Rebalancing Face Mask, For Sensitive Skin, Cruelty Free & Vegan Tissue Mask, 28g",84,0,78,5,162,5,0.00%,0.01%,0.01%,0.07%,0.01%,0.03%,105,0,86,5,191,5,0.01%,0.00%,0.01%,0.05%,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XRH7H3S,Revlon,259,0,159,3,418,3,0.00%,0.02%,0.02%,0.04%,0.02%,0.02%,334,0,196,4,530,4,0.02%,0.00%,0.02%,0.04%,0.02%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XSKHJSF,Schwarzkopf Igora Royal 7.0 Medium Blonde 60ml,748,7,255,4,"1,003",11,0.08%,0.05%,0.04%,0.05%,0.04%,0.07%,"1,047",12,349,4,"1,396",16,0.05%,0.11%,0.04%,0.04%,0.05%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XYV356N,LA GIRL Just Blushing Powder Blush - Just Dance,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B06XYX445D,LA GIRL Just Blushing Powder Blush - Just Natural,8,0,5,0,13,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,6,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.86%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071242B9D,"Rimmel Match Perfection Foundation 203 True Beige, Medium Coverage, 24hr Hydration, No Caking or Creasing, Lightweight, Reduces Imperfections, Invisible Coverage, SPF20, Cruelty Free",356,0,149,1,505,1,0.00%,0.02%,0.02%,0.01%,0.02%,0.01%,462,0,193,1,655,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071769V2R,Laval Large Nail Hardener 15 ml Bottle,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071G9Y8JF,W7 | Face Powder | Sheer Loose Powder - Biscuit | Fine Loose Powder,1,0,3,1,4,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,1,0,3,1,4,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071HY3HYD,Stargazer Nail Polish,47,0,21,0,68,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,57,0,25,0,82,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071VZ6NWM,Sally Hansen Gel Miracle 187,40,0,28,1,68,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,48,0,36,1,84,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071WP4G1S,WoodWick Ellipse Scented Trilogy Candle | Café Sweets | with Hearthwick Crackling Flame | Up to 50 Hours Burn Time,8,0,3,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,4,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B071WQM7JP,Stargazer Eye Dust Number,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0721F2TCF,"Technic Superfine Translucent Pressed Powder, 12 g",145,0,69,1,214,1,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,185,0,91,1,276,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0725CNB3Q,RefectoCil Oxidant 3% Cream 100ml,301,1,142,4,443,5,0.01%,0.02%,0.02%,0.05%,0.02%,0.03%,405,1,192,11,597,12,0.02%,0.01%,0.02%,0.11%,0.02%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B072BYX1CC,Rimmel London Stay Matte Liquid Lip Color - 700 Be My Baby For Women 0.21 oz Lipstick,4,0,19,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,27,0,32,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B072JLBZXN,Marion Heat Protection Hair Serum 30ml,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,5,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B072JQ31LC,Joanna Hair Styling Effect STYLING PASTE Extra Strong Flexibility & Fixation 90g,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B072MSYR23,Technic Liquid Eyeliner 6ml-Black,65,0,27,1,92,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,82,0,37,1,119,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B072QWW4R3,Mac 170 Rounded Slant Brush,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B073BGSWSM,Gel Manufacturer Single Phase – Builder – Base One Gel Clear 15 g,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0743BLB89,Max Factor Kohl Pencil,396,4,216,5,612,9,0.05%,0.03%,0.03%,0.07%,0.03%,0.06%,509,6,282,6,791,12,0.03%,0.05%,0.03%,0.06%,0.03%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074C4Q5Y2,Marion Hydro Silk Ultra Hydration Silk Treatment for Dry Hair 50ml,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,5,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074CC68L7,"Bourjois Rouge Edition Velvet Liquid Lipstick 21 Saperli Prunette, 6.7ml","1,404",9,717,11,"2,121",20,0.11%,0.09%,0.10%,0.15%,0.09%,0.13%,"1,892",11,961,12,"2,853",23,0.09%,0.10%,0.10%,0.12%,0.10%,0.11%,0.04%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074M9TMHF,"Maybelline Natural Ivory Fit Me Matte and Poreless Foundation Number 105, 30 ml",1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074N4FQ8G,VICTORIA VYNN SALON PRIMER ACID 15ml,9,0,2,1,11,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,11,0,2,1,13,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W62QPR,VICTORIA VYNN GEL POLISH NO. 008 CHAMPAGNE,4,0,1,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,1,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W6JRHY,VICTORIA VYNN GEL POLISH NO. 029 CHIC WINE,14,2,4,0,18,2,0.02%,0.00%,0.00%,0.00%,0.00%,0.01%,17,2,4,0,21,2,0.00%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W759BR,VICTORIA VYNN GEL POLISH NO. 058 TOTALLY GREEN,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W789J4,VICTORIA VYNN GEL POLISH NO. 073 LOST IN PARADISE,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W7D33F,VICTORIA VYNN GEL POLISH NO. 076 POLAR DREAM,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W7JXFP,VICTORIA VYNN GEL POLISH NO. 091 BEIGE GLOW,15,0,7,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18,0,9,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W7M7FZ,VICTORIA VYNN GEL POLISH NO. 092 BROOKLYN STREET,6,1,3,0,9,1,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,9,1,4,0,13,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W8VHQD,VICTORIA VYNN GEL POLISH NO. 039 SWEET DESIRE,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W8WP9Y,VICTORIA VYNN GEL POLISH NO. 007 BEAUTIFUL BRIDE,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W8ZMJM,VICTORIA VYNN PURE CREAMY HYBRID NO. 008 GINGER TEA,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W91LQ4,VICTORIA VYNN GEL POLISH NO. 018 CASHMERE BEIGE,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W932J5,VICTORIA VYNN PURE CREAMY HYBRID NO. 025 DRY WINE,8,0,3,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,3,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W93V63,VICTORIA VYNN GEL POLISH NO. 010 IN THE NUDE,4,0,1,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,1,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W98YX1,VICTORIA VYNN GEL POLISH NO. 055 SILVER CRISTAL,4,0,0,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,0,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9CWQB,VICTORIA VYNN GEL POLISH NO. 056 GOLD MILLIONAIRE,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,4,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9GJ6G,VICTORIA VYNN GEL POLISH NO. 057 NEON YELLOW,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9KK9M,VICTORIA VYNN GEL POLISH NO. 030 BERRY WINE,8,0,5,1,13,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,10,0,5,1,15,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9NRTD,VICTORIA VYNN GEL POLISH NO. 081 SECRET EVENING,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9R7D4,VICTORIA VYNN GEL POLISH NO. 074 HOLIDAY SEA,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074W9T2CB,VICTORIA VYNN GEL POLISH NO. 094 SMOKY DESERT,30,0,12,0,42,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44,0,14,0,58,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WB2TH1,VICTORIA VYNN GEL POLISH NO. 110 SILVER FOIL,5,0,0,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,0,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WB4XX5,VICTORIA VYNN GEL POLISH NO. 045 BOMBSHELL,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WB9VP5,VICTORIA VYNN GEL POLISH NO. 109 SILVER SCYSCRAPER,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,0,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBC3LP,VICTORIA VYNN GEL POLISH NO. 114 PINKY GLITTER,4,0,1,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,1,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBJ5V1,VICTORIA VYNN GEL POLISH NO. 028 SUGAR PLUM,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,0,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBP37B,VICTORIA VYNN PURE CREAMY HYBRID NO. 002 PEARLY GLOW,0,0,2,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,3,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBXWCS,VICTORIA VYNN GEL POLISH NO. 122 PEARLY MAUVE,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,0,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBYJSQ,VICTORIA VYNN GEL POLISH NO. 125 KHAKI PATH,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WBYMWW,VICTORIA VYNN GEL POLISH NO. 112 BLUE DELICIOUS,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WC28FJ,VICTORIA VYNN GEL POLISH NO. 079 IN THE NAVY,5,0,0,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WC2WG9,VICTORIA VYNN GEL POLISH NO. 148 ENDLESS SUMMER,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WC3LNX,VICTORIA VYNN GEL POLISH NO. 147 HAWAII BEACH,11,0,2,0,13,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13,0,2,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B074WC7PND,VICTORIA VYNN PURE CREAMY HYBRID NO. 023 REALLY RUBY,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
